"","nm","m1","bw","m2","focr","focr_se","fdr","fdr_se","pwr","pwr_se","mu_type","cov_type","snr"
"34","FOCR-D41-LAWS","FOCR (disjoint)","41","LAWS",NA,NA,0.0476410400785401,0.00462250501879748,0.0347100175746924,0.00158830383086105,"step","matern",0.1
"35","FOCR-D41-SABHA","FOCR (disjoint)","41","SABHA",NA,NA,0.0460720237403181,0.00446648010097607,0.0255272407732865,0.00127375675035873,"step","matern",0.1
"36","BH","BH","","",NA,NA,0.00471014492753623,0.000744739304025162,0.031634446397188,0.00143085690580839,"step","matern",0.144444444444444
"37","LAWS","LAWS","","",NA,NA,0.137350212932312,0.00353002497740801,0.387170474516696,0.00601913233382115,"step","matern",0.144444444444444
"38","SABHA","SABHA","","",NA,NA,0.130398953489532,0.00384603571537611,0.331546572934974,0.00644585784005434,"step","matern",0.144444444444444
"39","FOCR-O3-RAW","FOCR (overlap)","3","",0.00443548387096774,0.000701311577859923,0.00492424242424242,0.00077859109057176,0.0285149384885765,0.00141518628390069,"step","matern",0.144444444444444
"40","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0.00480769230769231,0.000760162899078937,0.0124340949033392,0.000776994500451156,"step","matern",0.144444444444444
"41","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0.00509259259259259,0.000805209589394726,0.0138400702987698,0.000861968132298596,"step","matern",0.144444444444444
"42","FOCR-O3-SABHA","FOCR (overlap)","3","SABHA",NA,NA,0.005,0.000790569415042095,0.0124780316344464,0.000788780503479849,"step","matern",0.144444444444444
"43","FOCR-D3-RAW","FOCR (disjoint)","3","",0.00476190476190476,0.000752923252421043,0.00515873015873016,0.000815666856789463,0.0268453427065026,0.00132547871569621,"step","matern",0.144444444444444
"44","FOCR-D3-BH","FOCR (disjoint)","3","BH",NA,NA,0.00520833333333333,0.000823509807335516,0.0115553602811951,0.000708660215882105,"step","matern",0.144444444444444
"45","FOCR-D3-LAWS","FOCR (disjoint)","3","LAWS",NA,NA,0.00520833333333333,0.000823509807335516,0.0118629173989455,0.000748926400668181,"step","matern",0.144444444444444
