"","nm","m1","bw","m2","focr","focr_se","fdr","fdr_se","pwr","pwr_se","mu_type","cov_type","snr"
"33","FOCR-D41-BH","FOCR (disjoint)","41","BH",NA,NA,0.0114286743931269,0.00107569249812211,0.0257029876977153,0.00130673782853013,"step","AR",0.1
"34","FOCR-D41-LAWS","FOCR (disjoint)","41","LAWS",NA,NA,0.0134974013913408,0.00106297046205331,0.0312390158172232,0.00164105345864049,"step","AR",0.1
"35","FOCR-D41-SABHA","FOCR (disjoint)","41","SABHA",NA,NA,0.00529861863488624,0.00072979383769486,0.0131810193321617,0.000981850400707048,"step","AR",0.1
"36","BH","BH","","",NA,NA,0.0277595865311737,0.0021571402831754,0.0471001757469244,0.00150951239085721,"step","AR",0.144444444444444
"37","LAWS","LAWS","","",NA,NA,0.0987011500333179,0.00226243937495588,0.30865553602812,0.00421995222861003,"step","AR",0.144444444444444
"38","SABHA","SABHA","","",NA,NA,0.0808336911558526,0.00215621428172935,0.243892794376098,0.00450319192735864,"step","AR",0.144444444444444
"39","FOCR-O3-RAW","FOCR (overlap)","3","",0.0258796000908963,0.00222746124010396,0.0288532639952974,0.00215434053765748,0.0556239015817223,0.00186167428890745,"step","AR",0.144444444444444
"40","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0.0268835883496101,0.00228372083196684,0.0304920913884007,0.00108937060521096,"step","AR",0.144444444444444
"41","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0.0249588762068458,0.00212792415313141,0.0330843585237258,0.0012356437646062,"step","AR",0.144444444444444
"42","FOCR-O3-SABHA","FOCR (overlap)","3","SABHA",NA,NA,0.0243444471452493,0.00214191928257098,0.0279437609841828,0.00108651565582418,"step","AR",0.144444444444444
"43","FOCR-D3-RAW","FOCR (disjoint)","3","",0.0246936993140849,0.00199128092869496,0.0258090800546977,0.00200772026127617,0.0485940246045694,0.00158108222869729,"step","AR",0.144444444444444
"44","FOCR-D3-BH","FOCR (disjoint)","3","BH",NA,NA,0.0276732209737828,0.00249841191148447,0.0239894551845343,0.000867940440293559,"step","AR",0.144444444444444
"45","FOCR-D3-LAWS","FOCR (disjoint)","3","LAWS",NA,NA,0.0291416040100251,0.00253314341923032,0.0246924428822496,0.000989280939052037,"step","AR",0.144444444444444
"46","FOCR-D3-SABHA","FOCR (disjoint)","3","SABHA",NA,NA,0.0303497615674798,0.00263731755226087,0.020518453427065,0.000867303612835796,"step","AR",0.144444444444444
"47","FOCR-O11-RAW","FOCR (overlap)","11","",0.0235378491450766,0.00184693793244572,0.0441683673784423,0.00199730499344061,0.115465729349736,0.00297762764947291,"step","AR",0.144444444444444
"48","FOCR-O11-BH","FOCR (overlap)","11","BH",NA,NA,0.0355826401569665,0.0020784515044599,0.0954305799648506,0.00250128276758904,"step","AR",0.144444444444444
"49","FOCR-O11-LAWS","FOCR (overlap)","11","LAWS",NA,NA,0.0375833594809075,0.00207858542736562,0.100219683655536,0.00265415842698852,"step","AR",0.144444444444444
"50","FOCR-O11-SABHA","FOCR (overlap)","11","SABHA",NA,NA,0.032527602879357,0.00208386031126988,0.0834797891036907,0.00243946526012732,"step","AR",0.144444444444444
"51","FOCR-D11-RAW","FOCR (disjoint)","11","",0.0217155516052575,0.00175914851172541,0.0299541879688939,0.00183573621412496,0.0878734622144113,0.00235173353440409,"step","AR",0.144444444444444
"52","FOCR-D11-BH","FOCR (disjoint)","11","BH",NA,NA,0.0315586869716221,0.00223823999681256,0.0694200351493849,0.00195695904635774,"step","AR",0.144444444444444
"53","FOCR-D11-LAWS","FOCR (disjoint)","11","LAWS",NA,NA,0.0310438577762215,0.00222555987587377,0.073286467486819,0.00204296895815843,"step","AR",0.144444444444444
