"","nm","m1","bw","m2","focr","focr_se","fdr","fdr_se","pwr","pwr_se","mu_type","cov_type","snr"
"37","LAWS","LAWS","","",NA,NA,0.0190370017269838,0.00055729114500414,0.125659050966608,0.00112704352709848,"step","iid",0.144444444444444
"38","SABHA","SABHA","","",NA,NA,0.034086989694016,0.000845818005929511,0.0682337434094903,0.00074986020028041,"step","iid",0.144444444444444
"39","FOCR-O3-RAW","FOCR (overlap)","3","",0.0142050859372107,0.000412530738236271,0.0210032995820488,0.000534664469141463,0.21792618629174,0.00176760741288897,"step","iid",0.144444444444444
"40","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0,0,0.00834797891036907,0.000208647584203866,"step","iid",0.144444444444444
"41","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0.00460138520483348,0.000476484181994837,0.0300087873462214,0.00061329190361238,"step","iid",0.144444444444444
"42","FOCR-O3-SABHA","FOCR (overlap)","3","SABHA",NA,NA,0,0,0.00382249560632689,0.000139610958531001,"step","iid",0.144444444444444
"43","FOCR-D3-RAW","FOCR (disjoint)","3","",0.0161806663496843,0.000526437863484145,0.0186013349288895,0.000569920935075202,0.123769771528998,0.00106656474224487,"step","iid",0.144444444444444
"44","FOCR-D3-BH","FOCR (disjoint)","3","BH",NA,NA,0,0,0.00557996485061511,0.000131579981619724,"step","iid",0.144444444444444
"45","FOCR-D3-LAWS","FOCR (disjoint)","3","LAWS",NA,NA,0,0,0.00984182776801406,0.000271355434428416,"step","iid",0.144444444444444
"46","FOCR-D3-SABHA","FOCR (disjoint)","3","SABHA",NA,NA,0,0,0.00127416520210896,5.44854531314655e-05,"step","iid",0.144444444444444
"47","FOCR-O11-RAW","FOCR (overlap)","11","",0.0114194471507505,0.000354382799375625,0.0588916334608052,0.000711191385619646,0.817442882249561,0.00151036430566032,"step","iid",0.144444444444444
"48","FOCR-O11-BH","FOCR (overlap)","11","BH",NA,NA,0.00625,0.000728975860261027,0.0293936731107206,0.000403422105920998,"step","iid",0.144444444444444
"49","FOCR-O11-LAWS","FOCR (overlap)","11","LAWS",NA,NA,0.00182448384984525,0.000166220347269776,0.142838312829525,0.00117600304257304,"step","iid",0.144444444444444
"50","FOCR-O11-SABHA","FOCR (overlap)","11","SABHA",NA,NA,0.00656213704994193,0.000713337192415978,0.0385764499121265,0.000560986338527058,"step","iid",0.144444444444444
"51","FOCR-D11-RAW","FOCR (disjoint)","11","",0.00880039663195151,0.000409898897514667,0.0264753603260068,0.000498765700291937,0.605008787346221,0.00201022933766922,"step","iid",0.144444444444444
